dep_iata,total_departures,average_departure_delay,cancelled_flights,cancellation_rate
ISP,6537,25.544592320636376,42,0.6424965580541533
JFK,733903,39.77426172123564,13617,1.8554223105778282
LGA,247288,33.778173627511244,5478,2.2152308239785192
