airport_id,airport_name,iata_code,icao_code
155,Zurich,ZRH,LSZH
156,Leonardo Da Vinci (Fiumicino),FCO,LIRF
157,Eppley Airfield,OMA,KOMA
158,Tulsa International,TUL,KTUL
159,Dublin International,DUB,EIDW
160,Westchester County Apt,HPN,KHPN
161,Kotoka,ACC,DGAA
162,Kuwait International,KWI,OKKK
163,Auckland International,AKL,NZAA
164,Portland International,PDX,KPDX
165,Kastrup,CPH,EKCH
166,Aeroporto Internacional Guarulhos,GRU,SBGR
167,Milano Malpensa,MXP,LIMC
168,Vancouver International,YVR,CYVR
169,Franz Josef Strauss,MUC,EDDM
170,Juan Santamaría International,SJO,MROC
171,Gatwick,LGW,EGKK
172,Arturo Merino Benitez,SCL,SCEL
173,"Athens International Airport ""Eleftherios Venizelos""",ATH,LGAV
174,El Prat De Llobregat,BCN,LEBL
175,Shannon,SNN,EINN
176,Calgary International Airport,YYC,CYYC
177,Manchester Airport,MAN,EGCC
178,Reno-Tahoe International,RNO,KRNO
179,Tompkins County,ITH,KITH
180,Keflavik International,KEF,BIKF
181,Mohamed V,CMN,GMMN
182,Geneve-cointrin,GVA,LSGG
183,Blaise Diagne International Airport,DSS,GOBD
184,Lisbon Portela,LIS,LPPT
185,Galeao Antonio Carlos Jobim,GIG,SBGL
186,Felix Houphouet Boigny,ABJ,DIAP
187,Nordela (São Miguel Island),PDL,LPPD
188,Ezeiza Ministro Pistarini,EZE,SAEZ
189,Abu Dhabi International,AUH,OMAA
190,Mercedita,PSE,TJPS
191,Edinburgh,EDI,EGPH
192,Singapore Changi,SIN,WSSS
193,Helsinki-vantaa,HEL,EFHK
194,Frederic Chopin,WAW,EPWA
195,Beijing Capital International,PEK,ZBAA
196,Don Miguel Hidalgo y Costilla International,GDL,MMGL
197,Alfonso B. Aragon,CLO,SKCL
198,Bozeman Yellowstone International Airport,BZN,KBZN
199,Crown Point Airport,TAB,TTCP
200,John Wayne,SNA,KSNA
201,Wallblake,AXA,TQPF
202,Robert L Bradshaw International,SKB,TKPK
203,Ramon Villeda Morales International,SAP,MHLM
204,Gwinnett County Airport,LZU,KLZU
205,King Khaled International,RUH,OERK
206,Bradley International,BDL,KBDL
207,Tashkent International,TAS,UTTT
208,Gen Mariano Escobedo,MTY,MMMY
209,Monmouth Executive Airport,BLM,KBLM
210,Belgrade Nikola Tesla,BEG,LYBE
211,University Park Airport,SCE,KUNV
212,Vienna International,VIE,LOWW
213,Marco Polo,VCE,LIPZ
214,Queen Alia International,AMM,OJAI
215,Lome,LFW,DXXX
216,Greater Rockford Airport,RFD,KRFD
217,Berlin Brandenburg Airport,BER,EDDB
218,Findel,LUX,ELLX
219,East Midlands,EMA,EGNX
220,Dekalb-Peachtree,PDK,KPDK
221,Martha's Vineyard,MVY,KMVY
222,Adirondack,SLK,KSLK
223,Hangzhou,HGH,ZSHC
224,Teterboro,TEB,KTEB
225,Lajes Ab,TER,LPLA
226,Guangzhou Baiyun International,CAN,ZGGG
227,Flamingo International,BON,TNCB
228,Nantucket Memorial,ACK,KACK
229,Blue Grass,LEX,KLEX
230,Cherry Capital Airport,TVC,KTVC
231,Naples,APF,KAPF
232,Aspen,ASE,KASE
233,St. Petersburg-Clearwater International,PIE,KPIE
234,James Cox Dayton International,DAY,KDAY
235,Roanoke Regional Airport,ROA,KROA
236,Norton AFB,SBD,KSBD
237,Lovell Field,CHA,KCHA
238,Municipal,LAL,KLAL
239,Melbourne International Airport,MLB,KMLB
240,Municipal,MMU,KMMU
241,Lewis B Wilson,MCN,KMCN
242,Jasionka,RZE,EPRZ
243,Licenciado Gustavo Díaz Ordaz International,PVR,MMPR
244,Hanscom Field,BED,KBED
245,Hilton Head,HHH,KHXD
246,Orlando Executive,ORL,KORL
247,Stewart,SWF,KSWF
248,Mar Del Plata,MDQ,SAZM
249,Waterbury-oxford,OXC,KOXC
250,Rochester International Airport,RST,KRST
251,Atlantic City International,ACY,KACY
252,Dover AFB,DOV,KDOV
253,Newport News/williamsb,PHF,KPHF
254,St Augustine,UST,KSGJ
255,,NLU,MMSM
256,Detroit City,DET,KDET
257,Isla Grande,SIG,TJIG
258,Trenton Mercer Airport,TTN,KTTN
259,,CGF,KCGF
260,Fulton County,FTY,KFTY
261,St. John's International,YYT,CYYT
262,New Haven,HVN,KHVN
263,Toledo Express,TOL,KTOL
264,Greater Moncton International Airport,YQM,CYQM
265,New Bedford,EWB,KEWB
266,Mid-Continent,ICT,KICT
267,Akron/canton Regional,CAK,KCAK
268,Chongqing Jiangbei International,CKG,ZUCK
269,Venice Municipalcipal,VNC,KVNC
270,Newark Liberty International,EWR,KEWR
271,Orlando Sanford International,SFB,KSFB
272,Cincinnati Municipal-Lunken Field,LUK,KLUK
273,Opa Locka,OPF,KOPF
274,Salina,SLN,KSLN
275,Hamburg Airport,HAM,EDDH
